9.641990000000000283e-02 1.000569999999999959e+00 5.000000000000000278e-02
2.856049999999999978e-01 9.694899999999999629e-01 5.000000000000000278e-02
4.585420000000000051e-01 8.860940000000000483e-01 5.000000000000000278e-02
6.142969999999999819e-01 7.681139999999999635e-01 5.000000000000000278e-02
7.637169999999999792e-01 6.430019999999999625e-01 5.000000000000000278e-02
9.143059999999999521e-01 5.207330000000000014e-01 5.000000000000000278e-02
1.067360000000000086e+00 4.015279999999999960e-01 5.000000000000000278e-02
1.222949999999999982e+00 2.852919999999999900e-01 5.000000000000000278e-02
1.384479999999999933e+00 1.778990000000000016e-01 5.000000000000000278e-02
1.556529999999999969e+00 8.979299999999999782e-02 5.000000000000000278e-02
